"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 15:06:42 GMT 2021","Tue Aug 10 15:06:58 GMT 2021","16215","src.tests.automation","test_editdata","","","","test_editdata",""
"broken","Tue Aug 10 15:06:30 GMT 2021","Tue Aug 10 15:06:42 GMT 2021","12224","src.tests.automation","test_deletedata","","","","test_deletedata",""
"broken","Tue Aug 10 15:07:19 GMT 2021","Tue Aug 10 15:07:32 GMT 2021","12828","src.tests.automation","test_pagination","","","","test_pagination",""
"broken","Tue Aug 10 15:07:38 GMT 2021","Tue Aug 10 15:07:38 GMT 2021","1","src.tests.automation","test_registration","","","","testregistration",""
"broken","Tue Aug 10 15:07:19 GMT 2021","Tue Aug 10 15:07:19 GMT 2021","1","src.tests.automation","test_logout","","","","test_logout",""
"passed","Tue Aug 10 15:07:32 GMT 2021","Tue Aug 10 15:07:38 GMT 2021","5657","src.tests.automation","test_policy","","","","test_policy",""
"broken","Tue Aug 10 15:07:38 GMT 2021","Tue Aug 10 15:07:46 GMT 2021","7836","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"passed","Tue Aug 10 15:06:14 GMT 2021","Tue Aug 10 15:06:25 GMT 2021","10830","src.tests","test_example","","","","test_hi",""
"broken","Tue Aug 10 15:06:25 GMT 2021","Tue Aug 10 15:06:30 GMT 2021","4491","src.tests.automation","test_adddata","","","","test_adddata",""
"failed","Tue Aug 10 15:07:11 GMT 2021","Tue Aug 10 15:07:19 GMT 2021","7832","src.tests.automation","test_login","","","","test_login",""
"broken","Tue Aug 10 15:06:59 GMT 2021","Tue Aug 10 15:07:11 GMT 2021","12827","src.tests.automation","test_listallelements","","","","test_listallelements",""
