"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 18:22:15 GMT 2021","Tue Aug 10 18:22:17 GMT 2021","1169","src.tests.automation","test_login","","","","test_login",""
"broken","Tue Aug 10 18:22:07 GMT 2021","Tue Aug 10 18:22:12 GMT 2021","4631","src.tests.automation","test_adddata","","","","test_adddata",""
"broken","Tue Aug 10 18:22:19 GMT 2021","Tue Aug 10 18:22:20 GMT 2021","1114","src.tests.automation","test_policy","","","","test_policy",""
"broken","Tue Aug 10 18:22:12 GMT 2021","Tue Aug 10 18:22:13 GMT 2021","1173","src.tests.automation","test_deletedata","","","","test_deletedata",""
"broken","Tue Aug 10 18:22:21 GMT 2021","Tue Aug 10 18:22:23 GMT 2021","1114","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"broken","Tue Aug 10 18:22:18 GMT 2021","Tue Aug 10 18:22:19 GMT 2021","1114","src.tests.automation","test_pagination","","","","test_pagination",""
"broken","Tue Aug 10 18:22:17 GMT 2021","Tue Aug 10 18:22:18 GMT 2021","1128","src.tests.automation","test_logout","","","","test_logout",""
"broken","Tue Aug 10 18:22:20 GMT 2021","Tue Aug 10 18:22:21 GMT 2021","1115","src.tests.automation","test_registration","","","","testregistration",""
"broken","Tue Aug 10 18:22:13 GMT 2021","Tue Aug 10 18:22:14 GMT 2021","1131","src.tests.automation","test_editdata","","","","test_editdata",""
"broken","Tue Aug 10 18:22:14 GMT 2021","Tue Aug 10 18:22:15 GMT 2021","1166","src.tests.automation","test_listallelements","","","","test_listallelements",""
