"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 14:43:11 GMT 2021","Tue Aug 10 14:43:19 GMT 2021","7718","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"broken","Tue Aug 10 14:42:32 GMT 2021","Tue Aug 10 14:42:45 GMT 2021","12713","src.tests.automation","test_listallelements","","","","test_listallelements",""
"broken","Tue Aug 10 14:41:52 GMT 2021","Tue Aug 10 14:42:04 GMT 2021","12122","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 14:43:06 GMT 2021","Tue Aug 10 14:43:11 GMT 2021","5581","src.tests.automation","test_policy","","","","test_policy",""
"broken","Tue Aug 10 14:42:53 GMT 2021","Tue Aug 10 14:43:06 GMT 2021","12737","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Tue Aug 10 14:41:41 GMT 2021","Tue Aug 10 14:41:52 GMT 2021","10781","src.tests","test_example","","","","test_hi",""
"broken","Tue Aug 10 14:42:53 GMT 2021","Tue Aug 10 14:42:53 GMT 2021","1","src.tests.automation","test_logout","","","","test_logout",""
"broken","Tue Aug 10 14:43:11 GMT 2021","Tue Aug 10 14:43:11 GMT 2021","0","src.tests.automation","test_registration","","","","testregistration",""
"broken","Tue Aug 10 14:42:16 GMT 2021","Tue Aug 10 14:42:32 GMT 2021","16054","src.tests.automation","test_editdata","","","","test_editdata",""
"failed","Tue Aug 10 14:42:45 GMT 2021","Tue Aug 10 14:42:53 GMT 2021","7689","src.tests.automation","test_login","","","","test_login",""
"broken","Tue Aug 10 14:42:04 GMT 2021","Tue Aug 10 14:42:16 GMT 2021","12087","src.tests.automation","test_deletedata","","","","test_deletedata",""
