"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 17:08:21 GMT 2021","Tue Aug 10 17:08:25 GMT 2021","4442","src.tests.automation","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 10 17:08:43 GMT 2021","Tue Aug 10 17:08:51 GMT 2021","7815","src.tests.automation","test_login","","","","test_login",""
"passed","Tue Aug 10 17:09:05 GMT 2021","Tue Aug 10 17:09:10 GMT 2021","5602","src.tests.automation","test_policy","","","","test_policy",""
"passed","Tue Aug 10 17:09:10 GMT 2021","Tue Aug 10 17:09:19 GMT 2021","8753","src.tests.automation","test_registration","","","","testregistration",""
"passed","Tue Aug 10 17:08:30 GMT 2021","Tue Aug 10 17:08:43 GMT 2021","13335","src.tests.automation","test_listallelements","","","","test_listallelements",""
"broken","Tue Aug 10 17:08:51 GMT 2021","Tue Aug 10 17:08:51 GMT 2021","0","src.tests.automation","test_logout","","","","test_logout",""
"broken","Tue Aug 10 17:08:25 GMT 2021","Tue Aug 10 17:08:30 GMT 2021","4476","src.tests.automation","test_editdata","","","","test_editdata",""
"broken","Tue Aug 10 17:08:13 GMT 2021","Tue Aug 10 17:08:21 GMT 2021","8234","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 17:08:51 GMT 2021","Tue Aug 10 17:09:05 GMT 2021","13451","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Tue Aug 10 17:09:19 GMT 2021","Tue Aug 10 17:09:50 GMT 2021","30569","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
