"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 14:23:22 GMT 2021","Tue Aug 10 14:23:22 GMT 2021","2","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"broken","Tue Aug 10 14:23:22 GMT 2021","Tue Aug 10 14:23:22 GMT 2021","3","src.tests.automation","test_pagination","","","","test_pagination",""
"broken","Tue Aug 10 14:23:20 GMT 2021","Tue Aug 10 14:23:20 GMT 2021","3","src.tests.automation","test_editdata","","","","test_editdata",""
"broken","Tue Aug 10 14:23:22 GMT 2021","Tue Aug 10 14:23:22 GMT 2021","0","src.tests.automation","test_logout","","","","test_logout",""
"passed","Tue Aug 10 14:23:09 GMT 2021","Tue Aug 10 14:23:20 GMT 2021","10751","src.tests","test_example","","","","test_hi",""
"broken","Tue Aug 10 14:23:20 GMT 2021","Tue Aug 10 14:23:20 GMT 2021","2","src.tests.automation","test_listallelements","","","","test_listallelements",""
"broken","Tue Aug 10 14:23:22 GMT 2021","Tue Aug 10 14:23:22 GMT 2021","0","src.tests.automation","test_registration","","","","testregistration",""
"broken","Tue Aug 10 14:23:20 GMT 2021","Tue Aug 10 14:23:22 GMT 2021","1207","src.tests.automation","test_login","","","","test_login",""
"broken","Tue Aug 10 14:23:22 GMT 2021","Tue Aug 10 14:23:22 GMT 2021","2","src.tests.automation","test_policy","","","","test_policy",""
"broken","Tue Aug 10 14:23:20 GMT 2021","Tue Aug 10 14:23:20 GMT 2021","2","src.tests.automation","test_deletedata","","","","test_deletedata",""
"broken","Tue Aug 10 14:23:20 GMT 2021","Tue Aug 10 14:23:20 GMT 2021","3","src.tests.automation","test_adddata","","","","test_adddata",""
