"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 17:33:53 GMT 2021","Tue Aug 10 17:34:06 GMT 2021","13329","src.tests.automation","test_pagination","","","","test_pagination",""
"broken","Tue Aug 10 17:32:10 GMT 2021","Tue Aug 10 17:32:20 GMT 2021","10261","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 17:34:06 GMT 2021","Tue Aug 10 17:34:11 GMT 2021","5542","src.tests.automation","test_policy","","","","test_policy",""
"passed","Tue Aug 10 17:33:33 GMT 2021","Tue Aug 10 17:33:41 GMT 2021","7647","src.tests.automation","test_login","","","","test_login",""
"passed","Tue Aug 10 17:34:11 GMT 2021","Tue Aug 10 17:34:20 GMT 2021","8709","src.tests.automation","test_registration","","","","testregistration",""
"broken","Tue Aug 10 17:33:41 GMT 2021","Tue Aug 10 17:33:52 GMT 2021","11909","src.tests.automation","test_logout","","","","test_logout",""
"passed","Tue Aug 10 17:33:20 GMT 2021","Tue Aug 10 17:33:33 GMT 2021","13204","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Tue Aug 10 17:32:20 GMT 2021","Tue Aug 10 17:32:47 GMT 2021","27128","src.tests.automation","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 10 17:32:47 GMT 2021","Tue Aug 10 17:33:20 GMT 2021","32529","src.tests.automation","test_editdata","","","","test_editdata",""
"passed","Tue Aug 10 17:34:20 GMT 2021","Tue Aug 10 17:34:51 GMT 2021","30579","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
