"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 16:35:14 GMT 2021","Tue Aug 10 16:35:27 GMT 2021","12775","src.tests.automation","test_pagination","","","","test_pagination",""
"broken","Tue Aug 10 16:35:14 GMT 2021","Tue Aug 10 16:35:14 GMT 2021","0","src.tests.automation","test_logout","","","","test_logout",""
"broken","Tue Aug 10 16:34:26 GMT 2021","Tue Aug 10 16:34:38 GMT 2021","12139","src.tests.automation","test_deletedata","","","","test_deletedata",""
"broken","Tue Aug 10 16:34:38 GMT 2021","Tue Aug 10 16:34:54 GMT 2021","16223","src.tests.automation","test_editdata","","","","test_editdata",""
"failed","Tue Aug 10 16:35:07 GMT 2021","Tue Aug 10 16:35:14 GMT 2021","7752","src.tests.automation","test_login","","","","test_login",""
"broken","Tue Aug 10 16:34:54 GMT 2021","Tue Aug 10 16:35:07 GMT 2021","12711","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Tue Aug 10 16:35:33 GMT 2021","Tue Aug 10 16:35:42 GMT 2021","8814","src.tests.automation","test_registration","","","","testregistration",""
"broken","Tue Aug 10 16:35:42 GMT 2021","Tue Aug 10 16:35:55 GMT 2021","13834","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"broken","Tue Aug 10 16:34:13 GMT 2021","Tue Aug 10 16:34:25 GMT 2021","12129","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 16:34:03 GMT 2021","Tue Aug 10 16:34:13 GMT 2021","10370","src.tests","test_example","","","","test_hi",""
"passed","Tue Aug 10 16:35:27 GMT 2021","Tue Aug 10 16:35:33 GMT 2021","5613","src.tests.automation","test_policy","","","","test_policy",""
