"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 18:28:16 GMT 2021","Tue Aug 10 18:28:29 GMT 2021","13179","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Tue Aug 10 18:27:43 GMT 2021","Tue Aug 10 18:28:16 GMT 2021","32598","src.tests.automation","test_editdata","","","","test_editdata",""
"passed","Tue Aug 10 18:28:29 GMT 2021","Tue Aug 10 18:28:37 GMT 2021","7710","src.tests.automation","test_login","","","","test_login",""
"passed","Tue Aug 10 18:28:54 GMT 2021","Tue Aug 10 18:29:07 GMT 2021","13411","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Tue Aug 10 18:29:21 GMT 2021","Tue Aug 10 18:30:04 GMT 2021","42424","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"passed","Tue Aug 10 18:28:37 GMT 2021","Tue Aug 10 18:28:54 GMT 2021","16925","src.tests.automation","test_logout","","","","test_logout",""
"passed","Tue Aug 10 18:29:07 GMT 2021","Tue Aug 10 18:29:13 GMT 2021","5549","src.tests.automation","test_policy","","","","test_policy",""
"passed","Tue Aug 10 18:26:49 GMT 2021","Tue Aug 10 18:27:16 GMT 2021","27257","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 18:29:13 GMT 2021","Tue Aug 10 18:29:21 GMT 2021","8671","src.tests.automation","test_registration","","","","testregistration",""
"passed","Tue Aug 10 18:27:16 GMT 2021","Tue Aug 10 18:27:43 GMT 2021","27088","src.tests.automation","test_deletedata","","","","test_deletedata",""
